#! FIELDS d1.lowest hhw1 dhhw1_d1.lowest
#! SET normalisation  100000.000000
#! SET min_d1.lowest 0
#! SET max_d1.lowest 1.5
#! SET nbins_d1.lowest  200
#! SET periodic_d1.lowest false
 0.000000 0.000000 0.000000
 0.007500 0.000000 0.000000
 0.015000 0.000000 0.000000
 0.022500 0.000000 0.000000
 0.030000 0.000000 0.000000
 0.037500 0.000000 0.000000
 0.045000 0.000000 0.000000
 0.052500 0.000000 0.000000
 0.060000 0.000000 0.000000
 0.067500 0.000000 0.000000
 0.075000 0.000000 0.000000
 0.082500 0.000000 0.000000
 0.090000 0.000000 0.000000
 0.097500 0.000000 0.000000
 0.105000 0.000000 0.000000
 0.112500 0.000000 0.000000
 0.120000 0.000000 0.000000
 0.127500 0.000000 0.000000
 0.135000 0.000000 0.000000
 0.142500 0.000000 0.000000
 0.150000 0.000000 0.000000
 0.157500 0.000000 0.000000
 0.165000 0.000000 0.000000
 0.172500 0.000000 0.000000
 0.180000 0.000000 0.000000
 0.187500 31748563558282878563536338944.000000 6044688388387347359837196386304.000000
 0.195000 73543262653906066307464373993472.000000 14181125388876638170472811767791616.000000
 0.202500 5985623180095196343958248384014420279296.000000 1182019280000432855803182224458776768937984.000000
 0.210000 43432783041519659047997649234365392093184.000000 8030430852637057379858540670145158122045440.000000
 0.217500 548475837872185469765818867919299985539072.000000 102984016778801914892924300230930980180852736.000000
 0.225000 9925013294556919308746282849641448454750208.000000 1916634386616309023324876993548052558935752704.000000
 0.232500 98850093717655153917587621864315891600064512.000000 18575665139436748625297099171061164100567433216.000000
 0.240000 528912819509838632901604918736877680295149568.000000 93861331509896459711929844866446969186707046400.000000
 0.247500 2125396161339204478852028912117399019633770496.000000 349415639051461457294735141781850694194149982208.000000
 0.255000 7032321804397325104828058977366575602580062208.000000 1048841780539936683123644716005769324771992928256.000000
 0.262500 20327187208699175751475730489498401003121147904.000000 2708972361815008742897191156558451109193802842112.000000
 0.270000 52052080497684701099200850200434659191347478528.000000 6109353079583145236464247452406257530360591024128.000000
 0.277500 118274579459258706272680969599481509646866317312.000000 12006166180355871239944780606065886122223727542272.000000
 0.285000 238665789736012265584929617586821426593665122304.000000 20456898333498007299765253345631002154137590693888.000000
 0.292500 427883341562024684409697817024308648237571506176.000000 29939605043778908866019071766247893133466986872832.000000
 0.300000 681814488308638579298125934427378887880710553600.000000 37007642561591619327910170631517596958208252968960.000000
 0.307500 965973246279792492518405063324470132678831636480.000000 37315741176493306099769812108271464326292521877504.000000
 0.315000 1217221434313437101077449763790206722155428708352.000000 28030696615997928159400759655656446018119587069952.000000
 0.322500 1364706070530029949317633254680320672398110097408.000000 10206977298059038298468403413004161583894470066176.000000
 0.330000 1361955235535728670068004687761166277611580555264.000000 -10903061171644210546776172759968927687853687701504.000000
 0.337500 1210536132312569988344735853917204130143120916480.000000 -28336239623794048075136791321713782345739876171776.000000
 0.345000 958942040919820419103039208415222805496416174080.000000 -37111715550620891727713080735961375569877156233216.000000
 0.352500 677715245592521528261745708895832612936943140864.000000 -36476734631322773881926409562396984733371337801728.000000
 0.360000 428092704568304510514143528613186856103152975872.000000 -29363452224287390034608454875396173585871192195072.000000
 0.367500 242797791043858985319366416477161512837077532672.000000 -19998414547376662981558335902128799571191990845440.000000
 0.375000 125399328183864997189417239043274649836695060480.000000 -11653669610757174201267789844347420524932535156736.000000
 0.382500 61698063569764537361676886470119292277027241984.000000 -5768209127739420706475368546236018778174532878336.000000
 0.390000 32602008956971362575472558689792081943764926464.000000 -2315168950168855649514035643427123907060081623040.000000
 0.397500 22148917565262205180501184404701830106224525312.000000 -623837066056057996369074533944997427437579010048.000000
 0.405000 19889264116812134110300016978322765017365086208.000000 11470713894887718910001585636515319172367908864.000000
 0.412500 20160579933210795673558719393669008759910825984.000000 76138677198090628525683091508578747995792605184.000000
 0.420000 20079279507670957764909033405189822643148161024.000000 -90002564623374168480186380930700075011208642560.000000
 0.427500 18600457422172395935430076998303449003593826304.000000 -288403727417235944169453603429014547226257522688.000000
 0.435000 15837272911382910680631334126672521095630815232.000000 -433868965854420153505255768522918204288631046144.000000
 0.442500 12328522723970359432016458113404319551897731072.000000 -485950193316971810682946123554639049808689496064.000000
 0.450000 8764208796603787065423458952083138869689581568.000000 -452334108277599126401457938364921581985926742016.000000
 0.457500 5681517361121475642832703000017756192971423744.000000 -363630218261654354590852567028186391507214794752.000000
 0.465000 3353491312634180205142974300807722771295502336.000000 -256822917969914383358066090106316404686134968320.000000
 0.472500 1799406374073863121150062955032051815767080960.000000 -160701358371527318436691379735941216431729803264.000000
 0.480000 875995507559654038555348794020462066940248064.000000 -89388912763449474031620980017621268888245239808.000000
 0.487500 386259526429885820246411689370827257209159680.000000 -44287313187802116972103210294254791854529708032.000000
 0.495000 153203750576029888772778623283110146146828288.000000 -19406685208061189779850110887036632805010309120.000000
 0.502500 54428175220919070934512552474851366181797888.000000 -7505138445924349365749447006295738882090598400.000000
 0.510000 16904305316087018586610686595262239519801344.000000 -2490873957728536058646940533521594848060112896.000000
 0.517500 4332083408563539205888809075188000899465216.000000 -659508474319286479796282807125304828569321472.000000
 0.525000 1034769129235451009857816053570586095386624.000000 -156307947842326709196173274036727537075224576.000000
 0.532500 232329300180904892046058517551877824970752.000000 -22839786344069151349475397507023486708613120.000000
 0.540000 135401313935807187632133336111078432571392.000000 1535500255424427215634709369738886287196160.000000
 0.547500 168964147329695090176543676677905134387200.000000 8543942900782995802790770613636073284173824.000000
